ID(序號),Area(行政區),路名,位置,Address(地址),Longitude(經度),Latitude(緯度),Remark(備註),,,,,,,
11,松山區,光復北路,165巷口(箱編:4009),臺北市松山區光復北路165巷口(箱編:4009),121.555448,25.057199,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.555448, 25.057199]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區光復北路165巷口(箱編:4009)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.555448, 25.057199, 121.555448, 25.057199]
		},",南港區,69
12,松山區,民生東路,5段163之1號右側(箱編:4003),臺北市松山區民生東路5段163之1號右側(箱編:4003),121.56305,25.059082,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.56305, 25.059082]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區民生東路5段163之1號右側(箱編:4003)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.56305, 25.059082, 121.56305, 25.059082]
		},",萬華區,38
13,松山區,南京東路,4段55之1號-捷運台北小巨蛋5號出口附近(箱編:1014),臺北市松山區南京東路4段55之1號-捷運台北小巨蛋5號出口附近(箱編:1014),121.5522933,25.0517606,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.5522933, 25.0517606]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區南京東路4段55之1號-捷運台北小巨蛋5號出口附近(箱編:1014)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.5522933, 25.0517606, 121.5522933, 25.0517606]
		},",,
14,松山區,三民路,64號(箱編:1015),臺北市松山區三民路64號(箱編:1015),121.563908,25.054931,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.563908, 25.054931]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區三民路64號(箱編:1015)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.563908, 25.054931, 121.563908, 25.054931]
		},",,
15,松山區,寶清街,21號公園入口處公佈欄(箱編:0000),臺北市松山區寶清街21號公園入口處公佈欄(箱編:0000),121.568823,25.050216,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.568823, 25.050216]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區寶清街21號公園入口處公佈欄(箱編:0000)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.568823, 25.050216, 121.568823, 25.050216]
		},",,
16,松山區,敦化北路,5號市立體育場公車站旁(箱編:2030),臺北市松山區敦化北路5號市立體育場公車站旁(箱編:2030),121.549221,25.049045,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.549221, 25.049045]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區敦化北路5號市立體育場公車站旁(箱編:2030)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.549221, 25.049045, 121.549221, 25.049045]
		},",,
17,松山區,南京東路,4段2號捷運小巨蛋2號出口(箱編:2058),臺北市松山區南京東路4段2號捷運小巨蛋2號出口(箱編:2058),121.550791,25.051583,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.550791, 25.051583]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區南京東路4段2號捷運小巨蛋2號出口(箱編:2058)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.550791, 25.051583, 121.550791, 25.051583]
		},",,
18,松山區,敦化北路,2號-八德路2段與敦化北路交叉口公車站對面(箱編:2078),臺北市松山區敦化北路2號-八德路2段與敦化北路交叉口公車站對面(箱編:2078),121.548629,25.048381,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.548629, 25.048381]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區敦化北路2號-八德路2段與敦化北路交叉口公車站對面(箱編:2078)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.548629, 25.048381, 121.548629, 25.048381]
		},",,
19,松山區,敦化北路,150號(箱編:2003),臺北市松山區敦化北路150號(箱編:2003),121.548679,25.054613,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.548679, 25.054613]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區敦化北路150號(箱編:2003)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.548679, 25.054613, 121.548679, 25.054613]
		},",,
20,松山區,敦化北路,100號(箱編:2005),臺北市松山區敦化北路100號(箱編:2005),121.548661,25.053381,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.548661, 25.053381]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區敦化北路100號(箱編:2005)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.548661, 25.053381, 121.548661, 25.053381]
		},",,
21,松山區,撫遠街,塔悠路(迎風狗運動公園01),臺北市松山區撫遠街塔悠路(迎風狗運動公園01),121.565726,25.072076,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.565726, 25.072076]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區撫遠街塔悠路(迎風狗運動公園01)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.565726, 25.072076, 121.565726, 25.072076]
		},",,
22,松山區,撫遠街,塔悠路(迎風狗運動公園02),臺北市松山區撫遠街塔悠路(迎風狗運動公園02),121.56558,25.071985,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.56558, 25.071985]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區撫遠街塔悠路(迎風狗運動公園02)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.56558, 25.071985, 121.56558, 25.071985]
		},",,
23,松山區,撫遠街,塔悠路(迎風狗運動公園03),臺北市松山區撫遠街塔悠路(迎風狗運動公園03),121.565468,25.072416,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.565468, 25.072416]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區撫遠街塔悠路(迎風狗運動公園03)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.565468, 25.072416, 121.565468, 25.072416]
		},",,
24,松山區,撫遠街,塔悠路(迎風狗運動公園04),臺北市松山區撫遠街塔悠路(迎風狗運動公園04),121.56496,25.072211,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.56496, 25.072211]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區撫遠街塔悠路(迎風狗運動公園04)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.56496, 25.072211, 121.56496, 25.072211]
		},",,
25,松山區,撫遠街,塔悠路(迎風狗運動公園05),臺北市松山區撫遠街塔悠路(迎風狗運動公園05),121.565037,25.07176,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.565037, 25.07176]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區撫遠街塔悠路(迎風狗運動公園05)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.565037, 25.07176, 121.565037, 25.07176]
		},",,
26,松山區,撫遠街,塔悠路(迎風狗運動公園06),臺北市松山區撫遠街塔悠路(迎風狗運動公園06),121.564884,25.071703,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.564884, 25.071703]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區撫遠街塔悠路(迎風狗運動公園06)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.564884, 25.071703, 121.564884, 25.071703]
		},",,
27,松山區,松河街,成美左岸河濱公園(彩虹橋下),臺北市松山區松河街成美左岸河濱公園(彩虹橋下),121.57673,25.051548,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.57673, 25.051548]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區松河街成美左岸河濱公園(彩虹橋下)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.57673, 25.051548, 121.57673, 25.051548]
		},",,
28,松山區,民生東路,4段97巷4弄20號旁富錦五號公園(洗手台旁),臺北市松山區民生東路4段97巷4弄20號旁富錦五號公園(洗手台旁),121.553706,25.058881,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.553706, 25.058881]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區民生東路4段97巷4弄20號旁富錦五號公園(洗手台旁)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.553706, 25.058881, 121.553706, 25.058881]
		},",,
29,松山區,民生東路,4段105號旁富錦六號公園(告示牌旁),臺北市松山區民生東路4段105號旁富錦六號公園(告示牌旁),121.553175,25.058216,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.553175, 25.058216]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區民生東路4段105號旁富錦六號公園(告示牌旁)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.553175, 25.058216, 121.553175, 25.058216]
		},",,
30,松山區,敦化北路,244巷31號前民有一號公園(佈告欄旁),臺北市松山區敦化北路244巷31號前民有一號公園(佈告欄旁),121.547524,25.060635,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.547524, 25.060635]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區敦化北路244巷31號前民有一號公園(佈告欄旁)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.547524, 25.060635, 121.547524, 25.060635]
		},",,
31,松山區,民生東路,3段113巷14號前民有二號公園(佈告欄旁),臺北市松山區民生東路3段113巷14號前民有二號公園(佈告欄旁),121.546396,25.05978,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.546396, 25.05978]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區民生東路3段113巷14號前民有二號公園(佈告欄旁)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.546396, 25.05978, 121.546396, 25.05978]
		},",,
32,松山區,民生東路,4段97巷6弄2號旁精忠公園(工具箱旁),臺北市松山區民生東路4段97巷6弄2號旁精忠公園(工具箱旁),121.552367,25.059449,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.552367, 25.059449]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區民生東路4段97巷6弄2號旁精忠公園(工具箱旁)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.552367, 25.059449, 121.552367, 25.059449]
		},",,
33,松山區,健康路,174號旁長壽公園(垃圾桶旁),臺北市松山區健康路174號旁長壽公園(垃圾桶旁),121.558764,25.053466,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.558764, 25.053466]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區健康路174號旁長壽公園(垃圾桶旁)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.558764, 25.053466, 121.558764, 25.053466]
		},",,
34,松山區,撫遠街,367巷至389巷底撫遠公園(涼亭區),臺北市松山區撫遠街367巷至389巷底撫遠公園(涼亭區),121.566731,25.064952,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.566731, 25.064952]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區撫遠街367巷至389巷底撫遠公園(涼亭區)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.566731, 25.064952, 121.566731, 25.064952]
		},",,
35,信義區,松智路,與松廉路口-信義廣場(編號:1060),臺北市信義區松智路與松廉路口-信義廣場(編號:1060),121.565492,25.033955,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.565492, 25.033955]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市信義區松智路與松廉路口-信義廣場(編號:1060)@@,@@area@@: @@信義區@@
			},
			@@bbox@@: [121.565492, 25.033955, 121.565492, 25.033955]
		},",,
36,信義區,仁愛路,4段國父紀念館大門左側(編號:1011),臺北市信義區仁愛路4段國父紀念館大門左側(編號:1011),121.5589422,25.0377402,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.5589422, 25.0377402]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市信義區仁愛路4段國父紀念館大門左側(編號:1011)@@,@@area@@: @@信義區@@
			},
			@@bbox@@: [121.5589422, 25.0377402, 121.5589422, 25.0377402]
		},",,
37,信義區,信義路,5段6號(編號:3003),臺北市信義區信義路5段6號(編號:3003),121.560315,25.032894,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.560315, 25.032894]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市信義區信義路5段6號(編號:3003)@@,@@area@@: @@信義區@@
			},
			@@bbox@@: [121.560315, 25.032894, 121.560315, 25.032894]
		},",,
38,信義區,仁愛路,4段與逸仙路口-1國父紀念館(編號:1015),臺北市信義區仁愛路4段與逸仙路口-1國父紀念館(編號:1015),121.561691,25.03761,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.561691, 25.03761]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市信義區仁愛路4段與逸仙路口-1國父紀念館(編號:1015)@@,@@area@@: @@信義區@@
			},
			@@bbox@@: [121.561691, 25.03761, 121.561691, 25.03761]
		},",,
39,信義區,光復南路,光復國小-1(編號:1032),臺北市信義區光復南路光復國小-1(編號:1032),121.5577379,25.0403813,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.5577379, 25.0403813]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市信義區光復南路光復國小-1(編號:1032)@@,@@area@@: @@信義區@@
			},
			@@bbox@@: [121.5577379, 25.0403813, 121.5577379, 25.0403813]
		},",,
