id,area,name,type,type2,summary,address,tel,payex,serviceTime,tw97x,tw97y,totalcar,totalmotor,totalbike,totalbus,Pregnancy_First,Handicap_First,Taxi_OneHR_Free,AED_Equipment,CellSignal_Enhancement,Accessibility_Elevator,Phone_Charge,Child_Pickup_Area,FareInfo/WorkingDay/0/Period,FareInfo/WorkingDay/0/Fare,FareInfo/WorkingDay/1/Period,FareInfo/WorkingDay/1/Fare,FareInfo/WorkingDay/2/Period,FareInfo/WorkingDay/2/Fare,FareInfo/Holiday/0/Period,FareInfo/Holiday/0/Fare,FareInfo/Holiday/1/Period,FareInfo/Holiday/1/Fare,FareInfo/Holiday/2/Period,FareInfo/Holiday/2/Fare,EntranceCoord/EntrancecoordInfo/0/Xcod,EntranceCoord/EntrancecoordInfo/0/Ycod,EntranceCoord/EntrancecoordInfo/0/Address,EntranceCoord/EntrancecoordInfo/1/Xcod,EntranceCoord/EntrancecoordInfo/1/Ycod,EntranceCoord/EntrancecoordInfo/1/Address,EntranceCoord/EntrancecoordInfo/2/Xcod,EntranceCoord/EntrancecoordInfo/2/Ycod,EntranceCoord/EntrancecoordInfo/2/Address,totallargemotor,ChargingStation,FareInfo/Holiday/3/Period,FareInfo/Holiday/3/Fare,EntranceCoord/EntrancecoordInfo/3/Xcod,EntranceCoord/EntrancecoordInfo/3/Ycod,EntranceCoord/EntrancecoordInfo/3/Address
11,信義區,嘟嘟房東興站停車場,1,2,小型車144格(含身心障礙停車格2格)。,信義區東興路65號地下1-4層,2655-0818,"計時:80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全日8,000元/月。",00:00:00~23:59:59,307173.035,2771107.63,145,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.03457,121.56063,,,,,,,,,,,,,,
12,信義區,嘟嘟房瀚寓酒店站停車場,1,2,大型車0格；小型車35格；機車0格,信義區基隆路1段206號地下1、2層,2655-0818,"計時:80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:8,000元/月。",00:00:00~23:59:59,306840.792,2770309.37,35,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,25.035702,121.567105,,,,,,,,,,,,,,
13,信義區,敦南停車場,1,2,大型車:0格，小型車:49格，機車:0格,通化段六小段175、176、177、179、179-1、179-2、179-3、179-4、179-5地號,2246-1708#15,120元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全日10000元/月,00:00:00~23:59:59,305422.631,2768918.61,50,0,0,0,,2,0,0,0,0,0,0,,,,,,,,,,,,,25.035739,121.566816,,,,,,,,,,,,,,
14,信義區,興雅國中地下停車場,1,1,立體式小型車447格(含身心障礙停車位9格)。,松德路200巷18號地下,2758-5499,計時30元，全日月票4800元，日間月票2800元(7-19)，夜間月票2000元(限19-8),00:00:00~23:59:59,307803.715,2769766.09,447,0,0,0,8,9,0,0,0,0,0,0,00~08,10,08~18,20,18~24,10,00~08,10,08~18,20,18~24,10,25.03479453,121.5728183,松德路200巷,,,,,,,2,4,,,,,
15,萬華區,峨眉立體停車場,1,1,建物附設立體式小型車518格(含身心障礙停車位11格，孕婦、育有6歲以下兒童停車位11格)。建物附設立體式機車1653格(含身心障礙停車位12格)。,峨眉街83號,2388-8663,"計時：小型車周一至周五(10-22)50元/時、(22-10)10元/時；小型車周六、周日與行政機關放假之紀念日與民俗日(10-24)60元/時、(24-10)10元/時，全程以半小時計費。月租：小型車全日月票4,800元/月，日間月票4,000元/月(每日10-22)，夜間月票500元/月(每日21-9)；機車全日月票300元/月。計次：機車20元/次，隔日另計。",00:00:00~23:59:59,300995.827,2770750.36,518,1674,0,0,11,11,0,0,0,0,0,0,00~10,10,10~22,40,22~24,10,00~10,10,10~22,50,22~24,10,25.04455,121.50561,昆明街,,,,,,,0,4,,,,,
16,中正區,中山堂地下停車場,1,1,立體式小型車440格(含身心障礙停車位9格)。,延平南路98號地下,2655/8/18,計時：周一至周五計時40元(08-20)，計時10元(20-08)，周六日及政府行政機關放假之紀念日與民俗節日計時40元(10-20)，計時10元(20-10)。月租：全日月票4800元，日間月票3600元(07-19)，夜間月票1000元(19-08) 。,00:00:00~23:59:59,301507.707,2770749.58,441,0,0,0,8,9,0,0,0,0,0,0,00~08,10,08~20,40,20~24,10,00~10,10,10~20,40,20~24,10,25.044164,121.510693,武昌街一段,,,,,,,1,7,,,,,
17,大安區,岳洋敦南停車場,1,2,大型車:0格，小型車:48格，機車:0格,敦化南路2段201號旁空地,2246-1708#15,120元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全日10000元/月,07:00:00~23:59:59,305446.08,2768935.25,48,0,0,0,0,2,0,0,0,0,0,0,00~24,30,,,,,NULL~NULL,NULL,,,,,25.049218,121.558434,,,,,,,,,,,,,,
18,萬華區,洛陽綜合立體停車場,1,1,立體式小型車1676格(含身心障礙停車位64格)。立體式機車277格(含身心障礙停車位6格)。,環河南路1段1號,23812484,小型車全日月票4000元，里民全日月票3300元。日間月票2400元(7-20)，夜間月票900元(20-7)，周一至周五(8-22)計時20元，(22-8)計時10元，周六至周日及政府行政機關放假之紀念日及民俗節日(8-10)計時20元，(10-22)計時30元，(22-8)計時10元 機車計次20元，全日月票300元 ；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,301043.408,2771216.58,1654,277,0,0,33,64,0,0,0,0,0,0,00~08,10,08~22,20,22~24,10,22~08,10,08~10,20,10~22,30,25.047658,121.504884,環河南路一段,25.047581,121.504626,環河快速道路(市民大道 三重),25.04762834,121.5052366,環河快速道路(市民大道 三重),18,5,22~24,10,25.04832815,121.5062285,昆明街
19,大同區,塔城公園地下停車場,1,1,立體式小型車151格(含身心障礙停車位4格)。,塔城街11號地下,2559-0032,全日月票5760元(全日里民優惠月票4600元)，夜間月票3000元(21-8)，計時30元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,301557.525,2771503.76,155,0,0,0,5,4,0,0,0,0,0,0,00~24,30,,,,,00~24,30,,,,,25.050878,121.510586,塔城街,,,,,,,1,2,,,,,
20,士林區,百齡高中地下停車場,1,1,立體式小型車232格(含身心障礙停車位5格)。,承德路4段175號地下,2883-6364,日間月票1500元(7-19)，夜間月票1500元(21-8) 周一至周四每日(0-9)計時10元，(9-22)計時40元，(22-24)計時10元 周五至周日及政府行政機關放假之紀念日與民俗日每日(0-1)計時50元，(1-12)計時10元，(12-24)計時50元,00:00:00~23:59:59,302855.945,2775422.3,231,0,0,0,6,5,0,0,0,0,0,0,00~09,10,09~22,40,22~24,10,00~01,50,01~12,10,12~24,50,25.08575691,121.5234925,承德路四段,,,,,,,1,4,,,,,
21,士林區,前港公園地下停車場,1,1,立體式小型車531格(含身心障礙停車位11格)。,前港街45號地下,2881-7033,全日月票5200元，日間月票2600元(7-19) (2-19)計時20元，(19-2)計時40元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,302482.057,2775334.64,524,0,0,0,12,11,0,0,0,0,0,0,00~24,20,,,,,02~02,30,02~19,20,19~24,30,25.08592029,121.5212961,後港街,,,,,,,1,4,,,,,
22,信義區,五分埔公園地下停車場,1,1,立體式小型車210格(含身心障礙停車位4格)。,中坡北路57號地下,2760-6275,全日月票4000元，所在里里民全日月票3500元，夜間月票3000元(限19-8)，周一至周四計時40元，周五至周日及政府行政機關放假之紀念日及民俗日計時50元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,308568.31,2771067.69,210,0,0,0,4,4,0,0,0,0,0,0,00~10,10,10~24,30,,,12~10,10,10~12,30,12~24,40,25.046906,121.580389,中坡北路,,,,,,,1,2,,,,,
23,松山區,民權公園地下停車場,1,1,立體式小型車714格(含身心障礙停車位15格)。,民權東路4段180號地下,2502-3333,"計時：小型車30元/時(08-22)，10元/時(22-08)，大型重型機車30元/時(08-22)，10元/時(22-08)，全程以半小時計費。月租：全日5,000元/月，日間2,800元/月。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",00:00:00~23:59:59,306294.385,2772717.98,731,0,0,0,14,15,0,0,0,0,0,0,00~08,10,08~22,30,22~24,10,00~08,10,08~22,30,22~24,10,25.06214,121.55877,民權東路四段,,,,,,,4,4,,,,,
24,大安區,金華公園地下停車場,1,1,立體式小型車193格(含身心障礙停車位3格)。,金華街190號地下,,全日月票6000元 (8-22)計時50元，(22-8)計時10元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,303652.309,2769153.2,189,0,0,0,0,0,0,0,0,0,0,0,00~08,10,08~22,40,22~24,10,00~08,10,08~22,50,22~24,10,25.02966074,121.5316351,青田街,,,,,,,,2,,,,,
25,萬華區,古亭國中地下停車場,1,1,立體式小型車261格(含身心障礙停車位6格)。,中華路2段606巷1號地下,,全日月票5250元，計時30元，夜間月票2800元(18-8)；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,301525.761,2768579.65,254,0,0,0,0,0,0,0,0,0,0,0,00~24,30,,,,,00~24,30,,,,,25.02381492,121.5099571,中華路二段606巷,,,,,,,,2,,,,,
26,松山區,榮帝科技全聯大安北師店停車場,1,2,大型車:0格，小型車:5格，機車:0格,和平東路2段311巷29號地下1層,2568-3773,"計時：100元/時，停車未滿1小時以1小時計算，逾1小時以上，未滿半小時以半小時計算。月租：10,000元/月。",00:00:00~23:59:59,305033.689,2768714.25,5,0,0,0,0,0,0,0,0,0,0,0,00~08,10,08~24,30,,,18~08,10,08~18,30,18~24,40,25.04967236,121.5720815,松信路,,,,,,,,,,,,,
27,文山區,景華公園地下停車場,1,1,立體式小型車746格(含身心障礙停車位15格)。,景華街55號地下,2932-5265,計時20元。全日月票4800元，停車場所在里里民全日月票2800元，一般里民全日月票3200元，日間月票2400元(7-19)，夜間月票1500元(19-8),00:00:00~23:59:59,304892.459,2765362.8,750,0,0,0,14,15,0,0,0,0,0,0,00~08,10,08~18,20,18~24,10,00~08,10,08~18,20,18~24,10,24.99602387,121.5439202,景興路46巷,,,,,,,,,,,,,
28,信義區,松山高中地下停車場,1,1,立體式小型車226格(含身心障礙停車位5格)。,基隆路1段156號地下,2768-5492,配合2/1-2/19台灣燈會期間費率調整為，周一至周五17-22時，週六至周日與行政機關放假之紀念日與民俗日10時至22時，調整小型車費率，計時60元，其餘時段維持原費率。全日月票5760元(全日里民優惠月票4600元) 平日：(0-8)計時10元，(8-20)計時30元，(20-24)計時10元 假日(含行政機關放假日、調整放假日、民俗日)：(9-19)計時60元，其餘時段同平日費率 ；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,306917.974,2770778.19,226,0,0,0,4,5,0,0,0,0,0,0,00~08,10,08~20,30,20~24,10,00~08,10,08~20,30,20~24,10,25.04405216,121.5637618,忠孝東路四段559巷,,,,,,,1,2,,,,,
29,內湖區,東湖國小地下停車場,1,1,立體式小型車358格(含身心障礙停車位7格)。立體式機車109格(含身心障礙停車位2格)。,東湖路115號之1地下,2630-6731,小型車計時40元(8-21)，計時20元(21-8)，日間月票2000元(7-19)，夜間月票2000元(19-8)，全日月票4000元，所在里及一般里民優惠全日月票2800元 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,312114.874,2773511.32,358,109,0,0,7,7,0,0,0,0,0,0,00~08,20,08~18,30,18~24,20,00~08,20,08~18,30,18~24,20,25.06839168,121.6159929,東湖路,,,,,,,2,2,,,,,
30,大同區,大稻埕公園地下停車場,1,1,立體式小型車198格(含身心障礙停車位5格)。,歸綏街243號地下,2557-7350,"計時：周一至五40元/時(08-19)，10元/時(19-翌日08)，周六至周日、政府行政機關放假之紀念日、民俗節日50元/時(08-19)，10元/時(19-翌日08)，全程以半小時計費。月票：全日5,760元/月，夜間2,000元/月(19-翌日08)。",00:00:00~23:59:59,301502.719,2772342.45,203,0,0,0,6,5,0,0,0,0,0,0,00~08,10,08~19,30,19~24,10,00~08,10,08~19,30,19~24,10,25.05833562,121.5103166,歸綏街,,,,,,,0,3,,,,,
31,大安區,附中公園地下停車場,1,1,立體式小型車118格(含身心障礙停車位4格)。,復興南路1段340巷11號地下,2240-8767,"計時：50元/時(08-21)，10元/時(21-08)，全程以半小時計費。月租：全日月票5,760元/月。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",00:00:00~23:59:59,304723.351,2769906.87,116,0,0,0,2,0,0,0,0,0,0,0,00~08,10,08~21,40,21~24,10,00~08,10,08~21,40,21~24,10,25.03618209,121.5423053,復興南路一段340巷,,,,,,,,2,,,,,
32,松山區,西松高中地下停車場,1,1,立體式小型車341格(含身心障礙停車位7格)。,健康路325巷19弄1號地下,2528-4554,計時30元，全日月票5250元，日間月票2800元(7-20)，夜間月票2450元(18-9)，夜間折扣(22-8)計時10元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,307094.919,2772078.85,341,0,0,0,6,7,0,0,0,0,0,0,00~08,10,08~22,30,22~24,10,00~08,10,08~22,30,22~24,10,25.05586333,121.5660542,健康路325巷19弄,,,,,,,1,2,,,,,
33,中山區,進安公園地下停車場,1,2,為地下三層停車場，計有150個小型車停車格,八德路2段158號地下,2502-3333,"計時：20元/時，全程以半小時計費。月租：全日4,800元/月，日間3,000元/月(07-20)，夜間2,000元/月(20-07)。",00:00:00~23:59:59,304256.222,2770992.88,154,0,0,0,3,3,0,0,0,0,0,0,00~24,20,,,,,00~24,20,,,,,25.04613004,121.5377132,八德路二段,,,,,,,0,3,,,,,
34,文山區,辛亥國小地下停車場,1,2,為地下二層停車場，計有129個小型車停車格。,辛亥路4段103號地下,2930-0568,全日月票3840元，一般里民全日月票3000元，計時20元(8-18)，計時10元(18-8),00:00:00~23:59:59,306385.24,2766588.77,132,0,0,0,3,3,0,0,0,0,0,0,00~08,10,08~18,20,18~24,10,00~08,10,08~18,20,18~24,10,25.00595409,121.5585309,萬美街二段,,,,,,,0,3,,,,,
35,大同區,成淵高中地下停車場,1,1,立體式小型車273格(含身心障礙停車位6格)。,承德路2段235號之1地下,,全日月票5760元(全日里民優惠月票4600元)，夜間月票2400元(19-8) (9-21)計時40元，(21-9)計時30元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,302443.992,2772624.48,265,0,0,0,0,0,0,0,0,0,0,0,00~24,30,,,,,00~24,30,,,,,25.06041045,121.520117,承德路二段,,,,,,,,2,,,,,
36,北投區,大豐公園地下停車場,1,1,立體式小型車235格(含身心障礙停車位5格)。,大興街145號地下,2892-1209,"計時：40元/時(7-22時)、10元/時(22時-翌日7時)，全程以半小時計費。 月租：全日4,000元/月。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",00:00:00~23:59:59,300813.615,2780396.61,234,0,0,0,6,5,0,0,0,0,0,0,00~07,10,07~19,20,19~24,10,00~07,10,07~19,20,19~24,10,25.131153,121.50434,大興街,,,,,,,,2,,,,,
37,大安區,大安高工地下停車場,1,1,立體式小型車526格(含身心障礙停車位11格)。,信義路3段166巷6弄12號地下,2702-7924,全日月票5760元(全日里民優惠月票4600元)，日間月票4200元(7-20)，夜間月票1500元(20-7)(9-21)計時30元(21-9)計時10元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,304680.898,2769501.7,527,0,0,0,10,11,0,0,0,0,0,0,00~09,10,09~21,30,21~24,10,00~09,10,09~21,30,21~24,10,25.032743,121.540845,信義路三段166巷6弄,,,,,,,1,4,,,,,
38,南港區,成德立體停車場,1,1,塔台式小型車180格(含身心障礙停車位5格)。,成福路1號,2240-8767,周一至周五(8-18)計時20元，(18-8)計時30元，假日計時30元，全日月票4500元，日間月票2200元(7-19)，夜間月票2400元(19-7) ,00:00:00~23:59:59,309134.553,2770988.07,180,0,0,0,0,5,0,0,0,0,0,0,00~24,30,,,,,00~24,30,,,,,25.04558598,121.5864634,東新街80巷10弄,25.0457424,121.5860741,成福路,,,,0,0,,,,,
39,士林區,社園立體停車場,1,1,塔台式小型車280格(含身心障礙停車位6格)。,延平北路6段180號,2816-4583,計時20元，全日月票3600元，夜間月票1800元(18-8),00:00:00~23:59:59,301034.258,2775795.37,260,0,0,0,0,0,0,0,0,0,0,0,00~24,20,,,,,00~24,20,,,,,25.08957075,121.5060651,延平北路六段,,,,,,,0,0,,,,,
40,松山區,健康國小地下停車場,1,1,立體式小型車195格(含身心障礙停車位5格)。,延壽街168號地下,2528-3802,"計時：30元/時，全程以半小時計費。月租：全日月票5,250元/月。",00:00:00~23:59:59,306738.661,2772157.76,199,0,0,0,2,5,0,0,0,0,0,0,00~24,30,,,,,00~24,30,,,,,25.05606978,121.5623652,三民路43巷,,,,,,,3,2,,,,,
41,信義區,忠信地下停車場,1,1,立體式小型車314格(含身心障礙停車位7格)。立體式機車255格(含身心障礙停車位5格)。,松仁路2號地下,2345-9578,小型車計時40元，全日月票5200元，日間月票3600元(7-19)，夜間月票2880元(19-8) 機車計時10元(當日當次最高收費上限20元，隔日另計)，月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。10月21-22、28-29，11月4-5、11-12、18-19每日10時至20時小型車每小時60元,00:00:00~23:59:59,307293.875,2770374.65,314,255,22,0,6,7,0,0,0,0,0,0,00~08,10,08~22,40,22~24,10,00~08,10,08~22,40,22~24,10,25.04023042,121.5683025,松仁路,,,,,,,2,2,,,,,
42,大同區,建成國中地下停車場,1,1,立體式小型車330格(含身心障礙停車位7格)。立體式機車160格(含身心障礙停車位3格)。,長安西路37號之一地下,2559-6615,"小型車8時至22時計時40元，22時至翌日8時計時10元，全日月票7,200元；機車計時10元(當日當次最高收費上限30元，隔日另計)，機車月票300元。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",00:00:00~23:59:59,302454.824,2771581.35,326,160,16,0,7,7,0,0,0,0,0,0,00~08,10,08~22,30,22~24,10,00~08,10,08~22,30,22~24,10,25.05082694,121.5196596,南京西路18巷28弄,,,,,,,2,2,,,,,
43,南港區,興中立體停車場,1,1,立體式小型車637格(含身心障礙停車位13格)。立體式機車152格(含身心障礙停車位4格)。,興中路44巷1號,2783-2912,"計時：小型車20元/時，全程以半小時計費。 月租:小型車全日月票3,000元/月；機車月票300元/月。 計次:機車20元/次，隔日另計。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",00:00:00~23:59:59,311193.24,2772128.99,650,156,15,0,14,13,0,0,0,0,0,0,00~08,10,08~18,20,18~24,10,00~08,10,08~18,20,18~24,10,25.05598911,121.606168,興中路44巷,,,,,,,1,4,,,,,
44,萬華區,青年公園高爾夫球場地下停車場,1,1,立體式小型車321格(含身心障礙停車位6格)。立體式機車157格(含身心障礙停車位7格)。,國興路5號地下,,小型車全日月票4800元，夜間月票2400元(18-8)，計時30元 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,301246.148,2768507.43,319,150,0,0,0,0,0,0,0,0,0,0,00~24,30,,,,,00~24,30,,,,,25.024982,121.507529,國興路,,,,,,,,2,,,,,
45,中山區,八德路停車場,1,2,建物附設立體式小型車69格(含身心障礙停車位2格)。,臺北市中山區八德路二段203號B1、B4。,2778-5756,計時40元,00:00:00~23:59:59,304464.498,2771078.39,69,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,25.03335,121.56355,,,,,,,,,,,,,,
