testID,ID(停車場的編號),Area(行政區),Name(停車場名稱),Address(停車場地址),Latitude(緯度),Longitude(經度),Summary(停車場概況),Tel(停車場電話),Payex(停車場收費資訊),"Totalcar(停車場""汽車""總車位數)","Totalmotor(停車場""機車""總格位數)","Totalbike(停車場""腳踏車""總車架數)","Totalbus(停車場""大客車""總車位數)",Pregnancy_First(孕婦優先車格位數),Handicap_First(身障車格位數),Totallargemotor(重機停車位數),ChargingStation(充電站數)
11,11,信義區,嘟嘟房東興站停車場,臺北市信義區信義區東興路65號地下1-4層,25.0469483,121.5667532,小型車144格(含身心障礙停車格2格)。,2655-0818,"計時:80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全日8,000元/月。",145,0,0,0,0,0,0,0
12,12,信義區,嘟嘟房瀚寓酒店站停車場,臺北市信義區信義區基隆路1段206號地下1、2層,25.0414827,121.5646022,大型車0格；小型車35格；機車0格,2655-0818,"計時:80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:8,000元/月。",35,0,0,0,0,2,0,0
13,13,信義區,敦南停車場,臺北市信義區通化段六小段175、176、177、179、179-1、179-2、179-3、179-4、179-5地號,25.0332738,121.5731167,大型車:0格，小型車:49格，機車:0格,2246-1708#15,120元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全日10000元/月,50,0,0,0,0,2,0,0
14,14,信義區,興雅國中地下停車場,臺北市信義區松德路200巷18號地下,25.0349624,121.5727214,立體式小型車447格(含身心障礙停車位9格)。,2758-5499,計時30元，全日月票4800元，日間月票2800元(7-19)，夜間月票2000元(限19-8),447,0,0,0,8,9,2,4
15,15,萬華區,峨眉立體停車場,臺北市萬華區峨眉街83號,25.0440285,121.5055721,建物附設立體式小型車518格(含身心障礙停車位11格，孕婦、育有6歲以下兒童停車位11格)。建物附設立體式機車1653格(含身心障礙停車位12格)。,2388-8663,"計時：小型車周一至周五(10-22)50元/時、(22-10)10元/時；小型車周六、周日與行政機關放假之紀念日與民俗日(10-24)60元/時、(24-10)10元/時，全程以半小時計費。月租：小型車全日月票4,800元/月，日間月票4,000元/月(每日10-22)，夜間月票500元/月(每日21-9)；機車全日月票300元/月。計次：機車20元/次，隔日另計。",518,1674,0,0,11,11,0,4
16,16,中正區,中山堂地下停車場,臺北市中正區延平南路98號地下,25.0425041,121.5103541,立體式小型車440格(含身心障礙停車位9格)。,2655-0818,計時：周一至周五計時40元(08-20)，計時10元(20-08)，周六日及政府行政機關放假之紀念日與民俗節日計時40元(10-20)，計時10元(20-10)。月租：全日月票4800元，日間月票3600元(07-19)，夜間月票1000元(19-08) 。,441,0,0,0,8,9,1,7
17,17,大安區,岳洋敦南停車場,臺北市大安區敦化南路2段201號旁空地,25.0264311,121.5493234,大型車:0格，小型車:48格，機車:0格,2246-1708#15,120元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全日10000元/月,48,0,0,0,0,2,0,0
18,18,萬華區,洛陽綜合立體停車場,臺北市萬華區環河南路1段1號,25.0635865,121.5088501,立體式小型車1676格(含身心障礙停車位64格)。立體式機車277格(含身心障礙停車位6格)。,2381-2484,小型車全日月票4000元，里民全日月票3300元。日間月票2400元(7-20)，夜間月票900元(20-7)，周一至周五(8-22)計時20元，(22-8)計時10元，周六至周日及政府行政機關放假之紀念日及民俗節日(8-10)計時20元，(10-22)計時30元，(22-8)計時10元 機車計次20元，全日月票300元 ；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,1654,277,0,0,33,64,18,5
19,19,大同區,塔城公園地下停車場,臺北市大同區塔城街11號地下,25.0509396,121.5107318,立體式小型車151格(含身心障礙停車位4格)。,2559-0032,全日月票5760元(全日里民優惠月票4600元)，夜間月票3000元(21-8)，計時30元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,155,0,0,0,5,4,1,2
20,20,士林區,百齡高中地下停車場,臺北市士林區承德路4段175號地下,25.0858255,121.5236968,立體式小型車232格(含身心障礙停車位5格)。,2883-6364,日間月票1500元(7-19)，夜間月票1500元(21-8) 周一至周四每日(0-9)計時10元，(9-22)計時40元，(22-24)計時10元 周五至周日及政府行政機關放假之紀念日與民俗日每日(0-1)計時50元，(1-12)計時10元，(12-24)計時50元,231,0,0,0,6,5,1,4
21,21,士林區,前港公園地下停車場,臺北市士林區前港街45號地下,25.0857225,121.5210984,立體式小型車531格(含身心障礙停車位11格)。,2881-7033,全日月票5200元，日間月票2600元(7-19) (2-19)計時20元，(19-2)計時40元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,524,0,0,0,12,11,1,4
22,22,信義區,五分埔公園地下停車場,臺北市信義區中坡北路57號地下,25.0467256,121.5804591,立體式小型車210格(含身心障礙停車位4格)。,2760-6275,全日月票4000元，所在里里民全日月票3500元，夜間月票3000元(限19-8)，周一至周四計時40元，周五至周日及政府行政機關放假之紀念日及民俗日計時50元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,210,0,0,0,4,4,1,2
23,23,松山區,民權公園地下停車場,臺北市松山區民權東路4段180號地下,25.0626554,121.5632511,立體式小型車714格(含身心障礙停車位15格)。,2502-3333,"計時：小型車30元/時(08-22)，10元/時(22-08)，大型重型機車30元/時(08-22)，10元/時(22-08)，全程以半小時計費。月租：全日5,000元/月，日間2,800元/月。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",731,0,0,0,14,15,4,4
24,24,大安區,金華公園地下停車場,臺北市大安區金華街190號地下,25.0296519,121.5303535,立體式小型車193格(含身心障礙停車位3格)。,無資訊,全日月票6000元 (8-22)計時50元，(22-8)計時10元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,189,0,0,0,0,0,0,2
25,25,萬華區,古亭國中地下停車場,臺北市萬華區中華路2段606巷1號地下,25.0240592,121.5101241,立體式小型車261格(含身心障礙停車位6格)。,無資訊,全日月票5250元，計時30元，夜間月票2800元(18-8)；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,254,0,0,0,0,0,0,2
26,26,松山區,榮帝科技全聯大安北師店停車場,臺北市松山區和平東路2段311巷29號地下1層,24.9741079,121.442512,大型車:0格，小型車:5格，機車:0格,2568-3773,"計時：100元/時，停車未滿1小時以1小時計算，逾1小時以上，未滿半小時以半小時計算。月租：10,000元/月。",5,0,0,0,0,0,0,0
27,27,文山區,景華公園地下停車場,臺北市文山區景華街55號地下,24.9951475,121.5437988,立體式小型車746格(含身心障礙停車位15格)。,2932-5265,計時20元。全日月票4800元，停車場所在里里民全日月票2800元，一般里民全日月票3200元，日間月票2400元(7-19)，夜間月票1500元(19-8),750,0,0,0,14,15,0,0
28,28,信義區,松山高中地下停車場,臺北市信義區基隆路1段156號地下,25.0414827,121.5646022,立體式小型車226格(含身心障礙停車位5格)。,2768-5492,配合2/1-2/19台灣燈會期間費率調整為，周一至周五17-22時，週六至周日與行政機關放假之紀念日與民俗日10時至22時，調整小型車費率，計時60元，其餘時段維持原費率。全日月票5760元(全日里民優惠月票4600元) 平日：(0-8)計時10元，(8-20)計時30元，(20-24)計時10元 假日(含行政機關放假日、調整放假日、民俗日)：(9-19)計時60元，其餘時段同平日費率 ；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,226,0,0,0,4,5,1,2
29,29,內湖區,東湖國小地下停車場,臺北市內湖區東湖路115號之1地下,25.0690805,121.6161461,立體式小型車358格(含身心障礙停車位7格)。立體式機車109格(含身心障礙停車位2格)。,2630-6731,小型車計時40元(8-21)，計時20元(21-8)，日間月票2000元(7-19)，夜間月票2000元(19-8)，全日月票4000元，所在里及一般里民優惠全日月票2800元 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,358,109,0,0,7,7,2,2
30,30,大同區,大稻埕公園地下停車場,臺北市大同區歸綏街243號地下,25.0584807,121.5105368,立體式小型車198格(含身心障礙停車位5格)。,2557-7350,"計時：周一至五40元/時(08-19)，10元/時(19-翌日08)，周六至周日、政府行政機關放假之紀念日、民俗節日50元/時(08-19)，10元/時(19-翌日08)，全程以半小時計費。月票：全日5,760元/月，夜間2,000元/月(19-翌日08)。",203,0,0,0,6,5,0,3
31,31,大安區,附中公園地下停車場,臺北市大安區復興南路1段340巷11號地下,25.0249441,121.5433783,立體式小型車118格(含身心障礙停車位4格)。,2240-8767,"計時：50元/時(08-21)，10元/時(21-08)，全程以半小時計費。月租：全日月票5,760元/月。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",116,0,0,0,2,0,0,2
32,32,松山區,西松高中地下停車場,臺北市松山區健康路325巷19弄1號地下,25.0558398,121.5660926,立體式小型車341格(含身心障礙停車位7格)。,2528-4554,計時30元，全日月票5250元，日間月票2800元(7-20)，夜間月票2450元(18-9)，夜間折扣(22-8)計時10元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,341,0,0,0,6,7,1,2
33,33,中山區,進安公園地下停車場,臺北市中山區八德路2段158號地下,25.0461039,121.5377235,為地下三層停車場，計有150個小型車停車格,2502-3333,"計時：20元/時，全程以半小時計費。月租：全日4,800元/月，日間3,000元/月(07-20)，夜間2,000元/月(20-07)。",154,0,0,0,3,3,0,3
34,34,文山區,辛亥國小地下停車場,臺北市文山區辛亥路4段103號地下,25.0064326,121.5591322,為地下二層停車場，計有129個小型車停車格。,2930-0568,全日月票3840元，一般里民全日月票3000元，計時20元(8-18)，計時10元(18-8),132,0,0,0,3,3,0,3
35,35,大同區,成淵高中地下停車場,臺北市大同區承德路2段235號之1地下,25.0603305,121.5199832,立體式小型車273格(含身心障礙停車位6格)。,無資訊,全日月票5760元(全日里民優惠月票4600元)，夜間月票2400元(19-8) (9-21)計時40元，(21-9)計時30元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,265,0,0,0,0,0,0,2
36,36,北投區,大豐公園地下停車場,臺北市北投區大興街145號地下,25.1311187,121.5042455,立體式小型車235格(含身心障礙停車位5格)。,2892-1209,"計時：40元/時(7-22時)、10元/時(22時-翌日7時)，全程以半小時計費。 月租：全日4,000元/月。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",234,0,0,0,6,5,0,2
37,37,大安區,大安高工地下停車場,臺北市大安區信義路3段166巷6弄12號地下,25.0327399,121.5418848,立體式小型車526格(含身心障礙停車位11格)。,2702-7924,全日月票5760元(全日里民優惠月票4600元)，日間月票4200元(7-20)，夜間月票1500元(20-7)(9-21)計時30元(21-9)計時10元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,527,0,0,0,10,11,1,4
38,38,南港區,成德立體停車場,臺北市南港區成福路1號,25.0458906,121.5860303,塔台式小型車180格(含身心障礙停車位5格)。,2240-8767,周一至周五(8-18)計時20元，(18-8)計時30元，假日計時30元，全日月票4500元，日間月票2200元(7-19)，夜間月票2400元(19-7),180,0,0,0,0,5,0,0
39,39,士林區,社園立體停車場,臺北市士林區延平北路6段180號,25.0896457,121.5059397,塔台式小型車280格(含身心障礙停車位6格)。,2816-4583,計時20元，全日月票3600元，夜間月票1800元(18-8),260,0,0,0,0,0,0,0
40,40,松山區,健康國小地下停車場,臺北市松山區延壽街168號地下,25.0566674,121.5627846,立體式小型車195格(含身心障礙停車位5格)。,2528-3802,"計時：30元/時，全程以半小時計費。月租：全日月票5,250元/月。",199,0,0,0,2,5,3,2
41,41,信義區,忠信地下停車場,臺北市信義區松仁路2號地下,25.0402552,121.5681064,立體式小型車314格(含身心障礙停車位7格)。立體式機車255格(含身心障礙停車位5格)。,2345-9578,小型車計時40元，全日月票5200元，日間月票3600元(7-19)，夜間月票2880元(19-8) 機車計時10元(當日當次最高收費上限20元，隔日另計)，月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。10月21-22、28-29，11月4-5、11-12、18-19每日10時至20時小型車每小時60元,314,255,22,0,6,7,2,2
42,42,大同區,建成國中地下停車場,臺北市大同區長安西路37號之一地下,25.0504086,121.5196574,立體式小型車330格(含身心障礙停車位7格)。立體式機車160格(含身心障礙停車位3格)。,2559-6615,"小型車8時至22時計時40元，22時至翌日8時計時10元，全日月票7,200元；機車計時10元(當日當次最高收費上限30元，隔日另計)，機車月票300元。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",326,160,16,0,7,7,2,2
43,43,南港區,興中立體停車場,臺北市南港區興中路44巷1號,25.0561567,121.6064886,立體式小型車637格(含身心障礙停車位13格)。立體式機車152格(含身心障礙停車位4格)。,2783-2912,"計時：小型車20元/時，全程以半小時計費。 月租:小型車全日月票3,000元/月；機車月票300元/月。 計次:機車20元/次，隔日另計。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",650,156,15,0,14,13,1,4
44,44,萬華區,青年公園高爾夫球場地下停車場,臺北市萬華區國興路5號地下,25.0243329,121.5075346,立體式小型車321格(含身心障礙停車位6格)。立體式機車157格(含身心障礙停車位7格)。,無資訊,小型車全日月票4800元，夜間月票2400元(18-8)，計時30元 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,319,150,0,0,0,0,0,2
45,45,中山區,八德路停車場,臺北市中山區八德路二段203號B1、B4。,25.0469941,121.5397795,建物附設立體式小型車69格(含身心障礙停車位2格)。,2778-5756,計時40元,69,0,0,0,0,2,0,0
46,46,文山區,動物園站地下停車場,臺北市文山區新光路2段28號,24.9966378,121.577122,為地下立體停車場，計有200格機車格，150格小型車格,8661-7431,計時：小型車平日20元/時(06-22)，10元/時(22-06)，假日60元/時(06-22)，10元/時(22-06)，全程半小時計費。計次：機車20元/次，隔日另計(凌晨2時為基準跨日另計費)。月租：小型車限時日間800元/月(週一至週五平日06-21)，機車全日月票300元/月。,154,204,0,0,0,4,0,1
47,47,中正區,汀州三停車場,臺北市中正區福和段二小段267-3、291-4地號；汀州路3段56號旁空地,25.0159043,121.5308164,一般平面式小型車26格(含身心障礙停車位1格)。,2778-5756,計時：100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,26,0,0,0,0,1,0,0
48,48,信義區,信義廣場地下停車場,臺北市信義區信義路5段11號地下,25.0330964,121.5663757,立體式小型車372格(含身心障礙停車位8格)。立體式機車233格(含身心障礙停車位3格)。,8780-0133,小型車全日月票4800元，日間月票3500元(7-20)，夜間月票500元(21-8) 小型車周一至周五(8-22)計時40元，(22-8)計時10元 周六至周日與政府行政機關放假之紀念日及民俗節日，(8-22)計時50元，(22-8)計時10元 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。10月21-22、28-29，11月4-5、11-12、18-19每日10時至20時小型車每小時60元,372,195,24,0,8,8,2,2
49,49,北投區,大業立體停車場,臺北市北投區大業路745號,25.137642,121.503034,塔台式小型車122格(含身心障礙停車位2格)。,2891-7080,"計時：30元/時，全程以半小時計費。月租：全日3,000元/月。",124,0,0,0,0,2,0,0
50,50,信義區,台北101停車場,臺北市信義區市府路45號B2~B4,25.0341222,121.5640212,立體式小型車1324格(含身心障礙停車位26格，孕婦、育有6歲以下兒童停車位26格)，立體式機車1509格(含身心障礙停車位60格)。,8101-8293,"小型車平日70元/時，假日100元/時，機車20元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計費，小型車10,000元/月。",1350,1509,0,0,26,26,0,0
51,51,內湖區,大湖公園地下停車場,臺北市內湖區成功路5段7號地下,25.0835653,121.6020551,為地下停車場，計有221個小型車格，66個機車格,8919-3669,小型車計時20元，各式月票採單一優惠費率最高售價每月2400元 機車計時10元(當日當次最高收費上限20元)，月票300元,216,0,0,0,2,0,0,0
52,52,松山區,民生社區活動中心地下停車場,臺北市松山區民生東路5段163號之1號地下2、3F層,25.0585789,121.5608832,為地下停車場，計有151個小型車格,2240-8767,"計時：30元/時，全程以半小時計費。月租：全日5,760元/月。",155,0,0,0,3,4,0,3
53,53,松山區,民生立體停車場,臺北市松山區民生東路5段84號,25.0541591,121.5638621,立體式小型車457格(含身心障礙停車位10格)。,2760-8303,計時30元，全日月票5760元(全日里民優惠月票4600元)；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,457,0,10,0,11,10,2,4
54,54,松山區,北寧路地下停車場,臺北市松山區八德路3段25號地下1層及地下2層,25.0483521,121.5523144,為地下停車場，計有78個小型車,2799-5657,(9-21)計時40元，(21-9)計時30元，夜間月票2000元(平常日:18-9，周六、日及政府行政機關放假之紀念日全日均可使用),78,0,0,0,2,2,0,0
55,55,大同區,市民大道(塔城段),臺北市大同區西寧北路-塔城街(地下),25.0506553,121.5105204,立體式小型車252格(含身心障礙停車位11格)。,2559-1772,(8-20)計時20元 (20-8)計時10元 日間月票2400元(7-19，以80張為出售上限，每人限購1張)，夜間月票500元(18-9及周六、日與行政機關放假之紀念日、民俗節日使用),252,0,0,0,0,0,0,8
56,56,大安區,大安森林公園地下停車場,臺北市大安區建國南路2段2號地下,25.0326001,121.5362253,立體式小型車1360格(含身心障礙停車位27格)。立體式機車344格(含身心障礙停車位8格)。,2709-2940,小型車全日月票4200元，日間月票2800元(7-19)，夜間月票2000元(18-8) 周一至周五(8-23)計時20元，(23-8)計時10元 周六、周日及政府行政機關放假之紀念日與民俗節日(8-23)計時40元，(23-8)計時10元 機車計時10元(當日當次最高收費上限20元，隔日另計)，月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,1352,344,20,0,29,27,2,5
57,57,中山區,市民大道(公中段),臺北市中山區公園路-中山北路(地下),25.0792018,121.5427093,立體式小型車184格(含身心障礙停車位4格)。,2531-1624,"計時：40元/時(08-18)，10元/時(18-翌日8時)，全程以半小時計費。月租：全日月票4,800元，日間月票3,200元(07-19)，夜間月票1,200元(20-翌日8時)。",184,0,0,0,0,0,0,8
58,58,中山區,市民大道(中林段),臺北市中山區中山北路-林森北路(地下),25.051017,121.525232,立體式小型車496格(含身心障礙停車位10格)。,2655-0818,"計時：30元/時[周一至周五09-18]，20元/時[周一至周五18-09]，周六至周日及政府行政機關放假之紀念日及彈性調整放假日、民俗節日20元/時；全程半小時計費。月租：全日3,600元/月。",506,0,0,0,9,10,1,7
59,59,中山區,市民大道(林金段),臺北市中山區林森北路-金山北路(地下),25.0456895,121.5307779,立體式小型車973格(含身心障礙停車位20格)。,2655-0818,"計時：30元/時[周一至周五09-18]，20元/時[周一至周五18-09]，周六至周日及政府行政機關放假之紀念日及彈性調整放假日、民俗節日20元/時；全程半小時計費。月租：全日3,600元/月。9-18)計時30元；(18-9)計時20元，周六、日與行政機關放假之紀念日、民俗日計時20元",993,0,0,0,19,20,2,2
60,60,中山區,台北時代寓所地下平面停車場,臺北市中山區林森南路7號地下1-3層,25.0439639,121.5235742,大型車:0格，小型車:137格，機車:0格,2321-7805,"一、計時：小型車60元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。二、計次：機車30元/次。三、月租：小型車10,000元/月，機車：600元/月。",137,0,0,0,0,0,0,0
61,61,北投區,陽明山立體停車場,臺北市北投區湖山路(陽明山公園大門口旁),25.1942462,121.5609363,為立體停車場，有246個機車格，209個小型車格,2655-0818,自2月11日起至3月19日止，小型車每日7時至19時計時收費每小時60元，每日19時至隔日7 時計時收費每小時30元。機車採計次收費每次20元（凡跨越每日零時停車者，累計收費一次。自3月20日起全恢復原費率。小型車:每日7時至19時60元/時，19時至隔日7時30元/時。機車:20元/次,209,0,0,0,4,5,0,0
62,62,松山區,忠孝玉成停車場,臺北市松山區玉成段五小段234-1、234-3、258、258-1、258-2地號；忠孝東路6段62號旁空地,25.0541591,121.5638621,大型車:0格，小型車:49格，機車:0格,2655-1516,"計時：150元/時，停車未滿1小時以1小時計；逾1小時以上者，未滿半小時以半小時計。月租：8,000元/月。",49,0,0,0,0,0,0,0
63,63,內湖區,長揚停車場仁愛站,臺北市內湖區復興南路1段253巷臨26號空地(大安區復興段3小段279地號)。,25.0249441,121.5433783,一般平面式小型車8格(含身心障礙停車位1格)。,2761-9188,"計時:80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。計次:400元/次(08-24)。月租:全日7,000元/月，日間5,500元/月(08-19)，夜間4,000元/月(19-08)。",8,0,0,0,0,1,0,0
64,64,松山區,Times松勤松仁,臺北市松山區信義段五小段14、14-1地號；松仁路148號旁空地,25.0308627,121.5679562,一般平面式小型車113格(含身心障礙停車位3格)。,0800-88-8924,計時：100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,113,0,0,0,0,3,0,0
65,65,大同區,雙連二停車場,臺北市大同區雙連段一小段219-8、219-65地號；錦西街72巷3號旁空地,25.0600063,121.5194698,一般平面式小型車1格(含身心障礙停車位1格)。,2778-5756,計時：80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,1,0,0,0,0,1,0,0
66,66,大同區,揚雅立體停車場,臺北市大同區大龍街136號,25.0673952,121.5158109,塔台式小型車204格(含身心障礙停車位5格)。,2586-0070,月票3840元，計時20元，22-6禁止車輛進出,200,0,0,0,0,1,0,0
67,67,萬華區,雙園國中地下停車場,臺北市萬華區西園路2段320巷55弄3號地下。,25.043735,121.504343,立體式小型車321格(含身心障礙停車位7格)。,無資訊,全日月票5200元 (8-22)計時30元，(22-8)計時10元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,314,0,0,0,0,0,0,2
68,68,士林區,文昌國小地下停車場,臺北市士林區文林路615巷20號地下,25.0992248,121.5214658,立體式小型車222格(含身心障礙停車位5格)。立體式機車293格(含身心障礙停車位6格)。,2788-8750,小型車全日月票4800元，計時20元 機車計時10元(當日當次最高收費上限20元，隔日另計)，月票300元,222,293,10,0,4,5,0,4
